smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,3Dscore,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C1COC2(CN1)CNC2,0.4364573349614649,-1.0517999999999994,33.29,10.619626706576751,4.736862953800049,34.422399999999996,2,1,1.44448,1.2183306267336973,146.26964815953085,396.932994356792,445.8581526203856,0.32806319072529855,0.8902674360083986,1.9642412754861407,0.0060864810109983805,0.9446557801078319,0.31685242309497086,0.45924963916660655,0.7506286285041877
C1CNC2(CNC2)OC1,0.45219031733033543,-0.7042000000000002,33.29,10.619626706576751,4.736862953800049,34.172399999999996,2,1,2.81085,1.2206534668983837,143.1525876575184,396.1181378142154,441.7885502279303,0.32402964627232245,0.8966238206260613,1.9562797671607788,0.006263413294149911,0.9460469271323879,0.3226274404257823,0.40109093887125624,0.73218991330544
C1CNCC2(C1)CCCN2,0.5115438105155194,0.4919999999999998,24.06,10.619626706576751,0.0,42.07140000000001,2,0,1.85926,1.2144496057537857,179.93675956697152,531.0093503877677,585.4060198022531,0.30737087334317664,0.907078732410609,2.1499384555063914,0.0050410974088537985,0.9515897993464689,0.3458628914892632,0.4123096416721919,0.7905692859200572
C1COC2(CCNC2)CN1,0.4708013141352857,-0.6616999999999997,33.29,10.619626706576751,4.736862953800049,39.03939999999999,2,1,3.5039,1.2793097833333442,179.48563769373143,512.9444485271796,541.2528656012689,0.3316114317368903,0.947698351596454,2.0827345980892282,0.00528007902901722,0.9434160579200515,0.3191535886033415,0.49031290355131546,0.8205128329524695
C1CCC2(CCNCC2)NC1,0.5410710897552415,0.8821,24.06,10.619626706576751,0.0,46.688400000000016,2,0,1.6988,1.3173188562664686,231.41411754028226,659.3992969649291,676.232189547446,0.3422110350812363,0.9751078211852324,2.2537377514074364,0.004213692023415535,0.9396231199095884,0.3105659063590679,0.5158190387863121,0.9459749227664457
C1CCC2(CNC1)CNC2,0.5071124521677052,0.3495,24.06,10.619626706576751,0.0,42.02340000000001,2,0,2.27418,1.1735056072947045,195.97080681506114,530.8606654352607,619.3677028317695,0.316404626717015,0.8571009805776896,2.1908830489393916,0.004373615614016128,0.9486243261650348,0.3302516520558524,0.4171696230507331,0.7535414238635372
C1CNC2(CC2)CN1,0.4498216249870977,-0.2882000000000002,24.06,10.619626706576751,0.0,32.83739999999999,2,0,2.02535,1.2159909854094846,137.68494297882074,274.5292275504913,338.9944296260544,0.4061569481560548,0.8098340372534298,1.8298492102356803,0.005881790846062243,0.9138033341286077,0.22472449507149841,0.4519797878360933,0.7272347758174275
C1CCC2(C1)CNCCN2,0.5115438105155194,0.4920000000000001,24.06,10.619626706576751,0.0,42.071400000000004,2,0,1.89245,1.2627425741466576,186.2694361921588,520.8595114120728,559.9945405199462,0.33262723600699845,0.9301153381396592,2.1255631183137647,0.004993386768939033,0.9430583873050197,0.3153365939071716,0.4947245949258554,0.8706640648309153
C1NC2CNC1C2,0.41926062340282405,-0.6799,24.06,10.619626706576751,0.0,28.198399999999992,2,0,1.50933,1.622624499129811,128.85510597634925,150.78626814678466,172.33893255839618,0.7476842525567305,0.8749402465730806,1.5174060764459556,0.006790109246688849,0.6640544092758387,0.02776826260938958,0.7897573322916028,0.8444437340365537
C1CC2CNC1CN2,0.4497584829824855,-0.2898,24.06,10.619626706576751,0.0,32.81539999999999,2,0,1.23168,1.9595801597928428,200.1723159995258,204.718262126693,206.6210846761287,0.9687893968482882,0.9907907629445547,1.650963224791931,0.00494968926146062,0.24788526489957,0.00035231229531023023,0.8394320725664226,0.9654322657937181
