smiles,QeD,logP,TPSA,SMR_VSA3,SlogP_VSA3,MR,NumNatoms,NumOatoms,dipole,PMI1,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex,PBF
C[C@]12CNC[C@H]1CNC2,0.4701045532653409,-0.1846999999999998,24.06,10.619626706576751,0.0,37.336400000000005,2,0,2.68723,250.49903466677688,0.0030193516992961,0.691842053802436,0.0448685100578538,0.6812931409616546,0.9347166511696644
C[C@]12CNC[C@@]1(C)CNC2,0.5022558834240874,0.2053999999999998,24.06,10.619626706576751,0.0,41.953400000000016,2,0,1.14038,310.487894030372,0.0029443325263009,0.6012593315212147,0.0165719599393804,0.8922636924078514,1.1460709180367925
C1CO[C@H]2CNC[C@H]2N1,0.4363845822627893,-1.0533999999999992,33.29,10.619626706576751,4.736862953800049,34.40039999999999,2,1,3.60621,157.91744907776317,0.0048421426450155,0.9373007044041862,0.2924531758600914,0.3411998764638121,0.6205348324441201
C1C[C@@H]2CN[C@@H]2CN1,0.4440282295697078,-0.4323000000000001,24.06,10.619626706576751,0.0,32.76739999999999,2,0,2.76369,165.4161892942194,0.0047312713031227,0.8163164472660185,0.0961108813353743,0.6103938112338451,0.8363077302879139
C1C[C@@H]2NC[C@@H]2CN1,0.4440282295697078,-0.4323000000000001,24.06,10.619626706576751,0.0,32.76739999999999,2,0,2.81627,162.67522192262626,0.0048367252589212,0.8218270482650414,0.1000107799037972,0.6016711582884967,0.8208321803704403
C1C[C@@H]2CNC[C@@H]2CN1,0.4701045532653408,-0.1847000000000002,24.06,10.619626706576751,0.0,37.336400000000005,2,0,1.13975,160.500374006143,0.0048035049026837,0.9434491483706968,0.3132909576515263,0.3653198361680286,0.650451126462679
C1CN[C@@H]2CCCN[C@@H]2C1,0.5114961414215871,0.4903999999999998,24.06,10.619626706576751,0.0,42.04940000000001,2,0,1.38058,207.43930699932568,0.0037916124052452,0.9334486873155348,0.278071335444123,0.3370845529176542,0.7049582438165222
O=S1(=O)C[C@@H]2NCCN[C@@H]2C1,0.4638986586954076,-1.655199999999999,58.2,10.619626706576751,9.837253136417502,42.23520000000001,2,2,5.08113,252.19285197996496,0.0036643269552391,0.9383707144158104,0.2983855789148074,0.5167725758709869,0.8283934370835128
FC1(F)CNCCNC1,0.4822193393214151,-0.1855000000000001,24.06,10.619626706576751,0.0,30.686399999999992,2,0,3.28822,196.56875251567484,0.0042534541872008,0.896654032883318,0.1895406071155534,0.427811693944721,0.6642401000676358
FC(F)(F)C1CCNCCN1,0.5500626851454534,0.5001999999999999,24.06,10.619626706576751,0.0,35.33239999999999,2,0,3.40358,256.8873539094483,0.0032880189116678,0.9485747016373662,0.3297589222312505,0.2994118830977097,0.627146653358694
c1n[nH]c2c1CNC2,0.4925073282443973,0.0128999999999999,40.71,15.500201719172496,12.99371936863189,29.1314,1,0,2.08021,102.85284296756738,0.0071293508277959,0.955657669547034,0.3703702565803609,0.1869923697904908,0.3445598426993633
c1noc2c1CNC2,0.5208479994485059,0.2778,38.06,10.46647661041382,12.99371936863189,27.046699999999998,1,0,3.06841,102.51982520954846,0.0071068006740067,0.9552483107029136,0.3693631165610494,0.1938971044363024,0.3588216906189695
c1[nH]nc2c1CNC2,0.4925073282443973,0.0128999999999999,40.71,15.500201719172496,12.99371936863189,29.1314,1,0,2.85098,104.03443618023256,0.0070082952576655,0.9535038546014684,0.3611080388480075,0.1893614963624883,0.3543828833315313
C1CNCCN1,0.4022372466625182,-0.8208,24.06,10.619626706576751,0.0,25.739399999999996,2,0,2e-05,107.67222755685503,0.0053994582416721,0.8311635658828279,0.1632942751376069,0.5073947457017409,0.587924016110418
C1CNOCN1,0.4010611682966329,-0.9317000000000002,33.29,10.782934700691625,4.8375885837366335,21.9574,2,1,1.91652,101.7099016467998,0.0056274808424222,0.8313153203418044,0.1680037941436415,0.4251293037082202,0.5167580704646627
C1CCNCC1,0.4576362279207808,0.7599,12.03,5.309813353288376,0.0,26.72069999999999,1,0,1.34914,112.51760998709186,0.0051254683582079,0.8257528848885065,0.1612160189445816,0.4740846619330086,0.5818498586447312
C1CCNNC1,0.4290219486318102,-0.1256000000000001,24.06,10.83763229278486,0.0,25.2394,2,0,1.93001,106.42756600005347,0.00575293637558,0.8177898912065463,0.1386718345184166,0.4796598835515394,0.6288276634362224
