smiles,PC1,PC2,PC3
C1C[C@@H]2CN[C@@H]2CN1,1.9458552148338673,-0.6227472003950509,-1.0213848557198526
C1C[C@@H]2NC[C@@H]2CN1,1.8730747705991004,-0.5571851204382138,-0.9795914848468977
C1C[C@@H]2CNC[C@@H]2CN1,1.10230326274489,0.03349973656814125,1.4301507983030406
C1CN[C@@H]2CCCN[C@@H]2C1,1.9023229959479317,-0.29778939271970045,2.556425539033846
O=S1(=O)C[C@@H]2NCCN[C@@H]2C1,2.66909132519826,6.069873557634752,-1.0775687845396034
FC1(F)CNCCNC1,1.5133121938169505,0.23843284207344867,0.6587603552944892
FC(F)(F)C1CCNCCN1,1.90609499619427,0.7421241050655659,3.187710878699648
c1n[nH]c2c1CNC2,-0.7935701579105537,3.3369527960166785,2.000899343996677
c1noc2c1CNC2,-1.261862964826294,3.19227736269781,2.3504518757405846
c1[nH]nc2c1CNC2,-0.7292051810495394,3.605236856221337,1.901416471481571
C1CNCCN1,0.3994093785890569,-1.132249144848892,-1.3265500928470457
C1CNOCN1,-0.27186480707146266,1.4314830653536275,-1.9988467621323784
C1CCNCC1,-0.835189526129572,-2.307108580186017,0.5432557946761758
C1CCNNC1,0.4292444873701344,-0.7532735903115788,-0.8603160171703277
C1CCOCC1,-2.828461274995936,-1.7253279818244451,0.11910911142100576
C1CNCNC1,0.43937020701380497,-0.5767072961673511,-1.1152200747925154
C1CNCOC1,-1.429686311154047,0.23513739567746297,-0.5175980826995626
C1CCOC1,-3.4582839115285733,-1.4901715841643215,-0.9497137491037919
C1CCNC1,-1.4851221783557278,-2.1471145765766457,-0.5506749215016752
c1cnoc1,-3.9973311387380477,0.14527762306079728,1.336859374877245
c1ccoc1,-4.7554626550174595,-2.043545534222582,2.0617932905240766
c1cc[nH]c1,-3.9198152440707457,-1.0217823977983131,2.170536583747318
c1ccncc1,-3.4282808909452624,-1.0226332626105916,2.396889830738233
C1CC2(C1)COC2,-3.2260166903948746,-0.828853431631588,0.01519780369219962
C1CC2(C1)CCO2,-3.52434393976056,-0.9092250225173995,0.6033600285374376
C1CC2(C1)CCN2,-1.5025937596653078,-1.621150891707944,1.0173772619940915
C1CC2(C1)CNN2,-0.2954184321990389,-0.11986560351374104,-0.18181833446479465
C1OCC12CO2,-5.021117086624535,1.8779366590635853,-1.7787500704882273
C1NC12COC2,-2.6379683524514714,1.6708441270414414,-1.9333213556152433
C1CC12COC2,-3.9447473038813397,-0.7383310803159143,-0.7126630980507598
C1NCC12CO2,-3.214224772115097,0.8904119911541457,-1.2408173416510793
C1NCC12CN2,-1.0679063883349555,1.4884157642436373,-2.139206586886767
C1CC12CNC2,-2.126480428599817,-1.3948207906860963,-0.048236989559858855
C1CC2(C1)CO2,-4.360165821698857,-0.4666554622614898,-0.5140875825421751
C1CC2(C1)CN2,-2.188709468252734,-0.694879175005743,-0.18789955623806415
C1CC2(C1)CC2,-3.637769998304241,-3.791763576037669,0.7139594598773411
